iter	Passed	Remaining
0	182	181931
1	183	91677
2	184	61446
3	186	46324
4	187	37255
5	188	31202
6	189	26927
7	190	23679
8	192	21165
9	193	19145
10	194	17491
11	196	16141
12	197	14990
13	198	13992
14	199	13123
15	201	12361
16	202	11689
17	203	11090
18	204	10554
19	205	10072
20	206	9636
21	207	9244
22	209	8891
23	210	8560
24	211	8255
25	212	7971
26	213	7707
27	215	7482
28	216	7254
29	217	7041
30	218	6841
31	220	6656
32	221	6485
33	222	6333
34	224	6177
35	225	6030
36	226	5892
37	228	5791
38	229	5665
39	231	5545
40	232	5431
41	233	5326
42	234	5228
43	236	5129
44	237	5041
45	238	4950
46	239	4863
47	240	4779
48	242	4699
49	243	4621
50	244	4546
51	245	4477
52	246	4408
53	247	4343
54	249	4280
55	250	4217
56	251	4157
57	252	4098
58	253	4046
59	254	3992
60	256	3940
61	257	3890
62	258	3841
63	259	3793
64	260	3747
65	261	3702
66	262	3659
67	264	3619
68	265	3578
69	266	3538
70	267	3499
71	268	3464
72	269	3428
73	271	3392
74	272	3359
75	273	3327
76	274	3294
77	275	3261
78	276	3229
79	278	3202
80	279	3174
81	280	3145
82	281	3109
83	282	3082
84	284	3057
85	285	3032
86	286	3007
87	287	2981
88	288	2955
89	289	2930
90	291	2910
91	292	2888
92	293	2865
93	294	2843
94	296	2820
95	297	2798
96	301	2804
97	302	2783
98	303	2762
99	304	2742
100	305	2721
101	306	2701
102	307	2682
103	309	2662
104	310	2643
105	311	2625
106	312	2607
107	313	2588
108	314	2571
109	315	2554
110	316	2537
111	317	2520
112	319	2504
113	320	2489
114	321	2473
115	322	2457
116	323	2439
117	324	2424
118	325	2409
119	326	2394
120	327	2379
121	328	2363
122	329	2349
123	339	2401
124	341	2387
125	342	2374
126	343	2358
127	344	2344
128	345	2333
129	346	2321
130	347	2308
131	349	2295
132	350	2284
133	351	2271
134	352	2259
135	353	2247
136	354	2235
137	356	2225
138	357	2214
139	358	2203
140	359	2192
141	360	2178
142	361	2168
143	362	2157
144	364	2146
145	365	2135
146	366	2125
147	367	2114
148	369	2107
149	370	2098
150	371	2088
151	372	2078
152	373	2068
153	374	2058
154	375	2047
155	376	2038
156	377	2027
157	378	2016
158	379	2006
159	380	1996
160	380	1984
161	381	1975
162	382	1965
163	383	1956
164	384	1946
165	385	1937
166	386	1927
167	387	1919
168	388	1910
169	389	1900
170	390	1891
171	391	1883
172	392	1874
173	393	1865
174	394	1858
175	395	1851
176	396	1842
177	397	1834
178	397	1825
179	398	1816
180	399	1808
181	400	1800
182	401	1793
183	402	1784
184	403	1776
185	404	1768
186	405	1761
187	405	1753
188	407	1747
189	408	1739
190	408	1732
191	409	1724
192	410	1716
193	411	1709
194	412	1701
195	413	1695
196	414	1688
197	415	1681
198	415	1674
199	416	1667
200	417	1660
201	418	1654
202	419	1648
203	420	1641
204	421	1636
205	422	1629
206	423	1623
207	424	1617
208	425	1610
209	426	1604
210	427	1598
211	428	1591
212	429	1585
213	430	1579
214	431	1574
215	432	1569
216	433	1563
217	433	1556
218	434	1550
219	435	1544
220	436	1539
221	437	1533
222	438	1528
223	439	1522
224	440	1517
225	441	1511
226	442	1506
227	443	1500
228	444	1495
229	445	1489
230	445	1484
231	446	1479
232	447	1473
233	448	1468
234	449	1464
235	450	1459
236	452	1455
237	452	1450
238	453	1444
239	454	1439
240	455	1434
241	456	1429
242	457	1425
243	458	1420
244	459	1415
245	460	1411
246	461	1406
247	462	1401
248	463	1397
249	464	1392
250	465	1388
251	466	1383
252	467	1379
253	468	1376
254	470	1373
255	471	1369
256	476	1378
257	477	1373
258	478	1369
259	479	1364
260	480	1360
261	481	1355
262	482	1352
263	483	1348
264	484	1344
265	485	1339
266	486	1336
267	487	1332
268	488	1328
269	489	1323
270	490	1319
271	491	1315
272	492	1311
273	493	1307
274	494	1303
275	495	1299
276	496	1295
277	497	1292
278	498	1288
279	499	1283
280	500	1279
281	501	1275
282	502	1272
283	503	1268
284	503	1264
285	505	1261
286	506	1257
287	507	1253
288	508	1250
289	509	1246
290	510	1242
291	510	1238
292	511	1235
293	512	1231
294	513	1227
295	514	1224
296	515	1220
297	516	1217
298	517	1213
299	518	1209
300	519	1206
301	520	1203
302	521	1199
303	522	1195
304	523	1193
305	524	1190
306	525	1186
307	526	1183
308	527	1180
309	528	1177
310	529	1173
311	530	1169
312	531	1166
313	532	1163
314	533	1160
315	534	1156
316	535	1153
317	536	1149
318	537	1146
319	537	1142
320	539	1140
321	539	1136
322	540	1133
323	541	1130
324	542	1127
325	543	1124
326	544	1121
327	545	1118
328	546	1114
329	547	1111
330	548	1108
331	549	1104
332	550	1101
333	551	1098
334	551	1095
335	552	1092
336	553	1089
337	554	1085
338	555	1082
339	556	1079
340	557	1076
341	558	1073
342	558	1070
343	559	1067
344	560	1064
345	561	1061
346	562	1058
347	563	1055
348	564	1052
349	565	1050
350	566	1047
351	567	1044
352	568	1041
353	569	1038
354	570	1036
355	571	1033
356	572	1030
357	573	1027
358	573	1024
359	574	1022
360	575	1019
361	577	1016
362	577	1013
363	578	1011
364	579	1008
365	580	1005
366	581	1002
367	582	1000
368	583	997
369	584	994
370	584	991
371	585	988
372	586	986
373	587	984
374	588	981
375	589	978
376	590	975
377	591	973
378	592	970
379	593	967
380	594	965
381	595	963
382	596	961
383	597	958
384	598	956
385	599	953
386	600	951
387	601	948
388	602	946
389	603	943
390	604	940
391	604	938
392	605	935
393	606	933
394	607	930
395	608	928
396	609	925
397	610	923
398	611	920
399	611	917
400	612	915
401	614	913
402	615	911
403	615	908
404	617	906
405	617	904
406	618	901
407	619	899
408	620	896
409	621	894
410	622	891
411	623	889
412	624	887
413	624	884
414	626	882
415	627	880
416	628	878
417	628	875
418	629	873
419	630	870
420	631	868
421	632	866
